customer_id,app_account_ref,customer_email_address,contact_no,first,last,dob,device,device_type,line1,line2,city,postcode,country,updated_ts,channel
SC000240793,,tejor.pavkor.p202592@brand-example.test,0000000000,Tejor,Pavkor,1975-04-11,KIOSK-DEVICE-1,Tablet,702 Ridge Road,,lake town,79255,united kingdom,07-01-2025 12:00:00,website
SC000205052,,jorri.qurxon.p280631@brand-example.test,+999000280631,Shalek,Vexgui,1984-04-25,DEV-a058d5e80eb8,Kiosk,921 Park Road,Suite 54,HILLVIEW,30459,India,2025/10/02 12:00:00,website
SC000211114,,tenan.yevbir.p206140@brand-example.test,+999000206140,Tenan hello नमस्ते यार,Yevbir,1985-08-22,KIOSK-DEVICE-1,desk,283 Ridge St hello नमस्ते यार,,NEWTOWN,46250,INDIA,1737115200000,WEB
SC000203834,,shasul.guilek.p032180@brand-example.test,+999000032180,Shasul,Guilek,1962-02-24,KIOSK-DEVICE-1,smartphone,271 Market St,Floor 1,Lake Town,15600,India,2025-10-25 17:30:00,Web
SC000203100,,mabsha.cralek.p180570@brand-example.test,+999000180570,Mabsha,Cralek,1977-06-06,DEV-1ba0733e654f,mobile,215 Garden Ave,Suite 48,Metro City,63717,AU,1732795200000,website
SC000215104,,ripha.wulyev.p115589@brand-example.test,+999000115589,Ripha,Wulyev,1997-03-21,DEV-ee20961e6112,tablet,785 Ridge St,,Newtown,94263,Australia,2025-10-30T12:00:00+00:00,WEB
SC000261400,,fizsha.sulyev.p254085@brand-example.test,+999000254085,Fizsha,Sulyev,1960-08-06,DEV-9b83ff370715,Mobile,944 Vale St,,New Town,49083,GBR,2025-01-19T12:00:00+00:00,website
SC000267471,,xonfiz.fizbiv.p185973@brand-example.test,+999000185973,Xonfiz,Fizbiv,1957-11-27,DEV-4db26e840796,desktop,735 Market St,,Metrocity,14390,US,31-03-2025 12:00:00,Web
SC000214314,,driyev.shanan.p207600@brand-example.test,+999000207600,Driyev,Shanan,1939-09-16,DEV-38049c8d4d8f,desk,733 Ridge Ave,,Hill-View,42982,Australia,19-12-2025 12:00:00,WEB
SC000258375,,qurrai.sulsha.p175959@brand-example.test,+999000175959,Qurrai,Sulsha,1970-06-11,DEV-a0fb38454f89,TABLET,460 Lake St,,greenfield,37262,USA,03-07-2025 12:00:00,website
SC000218343,,zexlon.guiqur.p108241@brand-example.test,+999000108241,Zexlon,Guiqur,1992-01-02,KIOSK-DEVICE-1,check-in kiosk,44 Lake St, hello नमस्ते यार,METROCITY,32044,USA,07-23-25 12:00,website
SC007000821,,yevlon.phavex.u7000821@brand-example.test,,Yevlon,Phavex,,DEV-2d3346f518c5,Mobile,121 Ridge Road,,Metrocity,10821,GBR,1775217379000,WEB
SC000252725,,ricra.raipav.p291773@brand-example.test,+999000291773,Ricra,Raipav,2004-06-06,KIOSK-DEVICE-1,desk,707 Ridge Road,Suite 164,new town,73792,australia,2025-04-26 17:30:00,WEB
SC000261559,,qurbiv.quryev.p156195@brand-example.test,+999000156195,Qurbiv,Quryev,1949-08-28,DEV-316a785ff721,TABLET,703 Vale Ave,Floor 7,Metro City,13148,AUSTRALIA,01-05-2025 12:00:00,web
SC000257547,,vexcam.guigui.p190777@brand-example.test hello नमस्ते यार,+999000190777,Vexcam,Guigui,1976-08-21,DEV-c0ef0a12f580,MOBILE,764 Park Ave,Floor 10 😊,metro-city,36135,USA,2025/08/05 12:00:00,web
SC000265974,,rairi.turte.p023829@brand-example.test,+999000023829,Rairi,Turte,1941-06-24,DEV-577a5ae5fd82,smartphone,104 Lake Road,Floor 8,LAKETOWN,95224,United Kingdom,03-23-26 12:00,web
SC000245927,,driqur.wulvex.p135412@brand-example.test,+999000135412,Driqur,Wulvex,1952-10-15,KIOSK-DEVICE-1,event kiosk,184 Park Road,Suite 169,new town,11996,GB,23-12-2024 12:00:00,website
SC000252655,,pavtur.mabpav.p196270@brand-example.test,+999000196270,Pavtur,Mabpav,1939-08-12,DEV-1ffc71ab7180,kiosk,473 Park Road, hello नमस्ते यार,Green-Field,31711,united kingdom,2025/11/21 12:00:00,website
SC000253087,,wulpre.raijor.p181665@brand-example.test,+999000181665,Wulpre,Raijor,1993-10-08,KIOSK-DEVICE-1,smartphone,91 Vale Road,,Green-Field,11162,IN,13-01-2026 12:00:00,website
SC000208528,,"phabiv.sekxon.p254720@brand-example.test ""quoted, comma""",+999000254720,Wulnan,Nanpav,1995-05-20,DEV-94be5f9de893,mobile,201 Vale St,,Greenfield,49079,united kingdom,2025-01-13 17:30:00,website
SC000252728,,lonte.cambiv.p259275@brand-example.test,+999000259275,Lonte,Cambiv,1950-04-26,KIOSK-DEVICE-1,desk,372 Market St hello नमस्ते यार,,METROCITY,95475,australia,2026-02-14T12:00:00+00:00,website
SC007001354,,nanwul.driwul.u7001354@brand-example.test,,Nanwul,Driwul,,DEV-079d5c6cc93a,kiosk,654 Ridge Road,,HILLVIEW,11354,AU,03-04-2026 11:57:26,Web
SC000263754,,wulcam.jorqur.p122856@brand-example.test,+999000122856,Xonbir,Camtur,1970-12-08,DEV-8bb10fa8a909,check-in kiosk,140 Lake Ave,Floor 6,lake town,92248,united kingdom,16-02-2026 12:00:00,Web
SC000266828,,bivtur.noxgui.p231130@brand-example.test,+999000231130,Bivtur,Noxgui,1942-03-22,KIOSK-DEVICE-1,KIOSK,310 Vale Ave,Floor 3,Metrocity,55998,United States,03-04-26 12:00,WEB
SC000270080,,yevmab.crabir.p101402@brand-example.test,+999000101402,Yevmab,Crabir,1946-02-10,DEV-4a07fc75d757,MOBILE,188 Ridge Ave,Suite 88,LakeTown,49992,INDIA,2025-04-15T12:00:00+00:00,website
SC000233009,,nandri.korzex.p161433@brand-example.test,+999000161433,Nandri,Korzex,1961-11-24,KIOSK-DEVICE-1,Desktop,947 Lake Road,,Laketown,60872,Australia,03-06-25 12:00,website
SC000272045,,sulbiv.sulte.p186463@brand-example.test,+999000186463,Sulbiv,Sulte,1952-04-12,KIOSK-DEVICE-1,ipad,907 Vale Road,,metrocity,13681,US,2024-12-15T12:00:00+00:00,Web
SC000248319,,raisek.raigui.p230466@brand-example.test,+999000230466,Raisek,Raigui,1981-06-15,DEV-1a89c503c477,pc,747 Market Road,,Lake Town,68204,U.S.,1745582400000,Web
SC000266585,,phagui.guimab.p136665@brand-example.test,,Phagui,Guimab,1971-10-14,DEV-7e31dfafe841,Mobile,2 Lake Ave,,Metro City,35740,india,2025-11-18T12:00:00+00:00,Web
SC000267164,,shapav.quryev.p162753@brand-example.test,+999000162753,Shapav,Quryev,1989-04-09,DEV-3b47ae75e7c8,mobile,483 Park St,,Green-Field,31960,U.S.,2025/12/01 12:00:00,WEB
SC000212642,,lekkor.bivqur.p159258@brand-example.test,+999000159258,Lekkor,Bivqur,1941-01-24,KIOSK-DEVICE-1,pc,38 Ridge Ave,,LAKETOWN,63588,United Kingdom,27-08-2025 12:00:00,website
SC000237206,,tewul.tecam.p159236@brand-example.test,+999000159236,Tewul,Tecam,1986-10-02,DEV-224ad732f848,smartphone,6 Vale Ave,Suite 113,metrocity,77216,AUSTRALIA,04-22-25 12:00,WEB
SC000267048,,fizsha.lonqur.p031065@brand-example.test,+999000031065,Fizsha,Lonqur,1967-05-05,DEV-8d7714d5384c,KIOSK,63 Market Road,,Metrocity,71564,united kingdom,2025-06-15T12:00:00+00:00,Web
SC000256640,,turbir.prepha.p209169@brand-example.test,+999000209169,Turbir,Prepha,1990-08-17,DEV-909f6f7fbf83,ipad,36 Lake Road,,NEWTOWN,33641,australia,2026-02-16 17:30:00,website
SC000216900,,wulpre.longui.p193366@brand-example.test,+999000193366,Wulpre,Longui,1977-04-13,DEV-012ae2189c3e,Tablet,378 Ridge Road,,Metrocity,75521,Australia,2025/01/14 12:00:00,WEB
SC000250180,001110413,camyev.nanlon.p097458@brand-example.test,+999000097458,Camyev,Nanlon,2005-07-13,DEV-b546567d2aef,Kiosk,814 Ridge St,,LakeTown,51683,UK,04-25-25 12:00,WEB
SC000265821,,noxpre.phacam.p205993@brand-example.test,0000000000,Noxpre,Phacam,1998-10-20,DEV-374fa98389be,Tablet,23 Market Ave,Floor 8,Newtown,91009,United Kingdom,11-11-2025 12:00:00,web
SC000239959,,craxon.sulsul.p028591@brand-example.test,+999000028591,Craxon,Sulsul,1970-01-01,DEV-b1f5fa47ff8d,kiosk,229 Park St,,Lake Town,88575,U.S.,2025-11-25 17:30:00,website
SC000270074,001111712,vexnan.sulkor.p245791@brand-example.test,+999000245791,Vexnan,Sulkor,1960-10-10,DEV-77d8d393323d,event kiosk,834 Park Road,,Hillview,65423,AUS,2025-03-09T12:00:00+00:00,Web
SC000259928,,noxri.korvex.p000571@brand-example.test,+999000000571,Noxri,Korvex,1955-01-07,KIOSK-DEVICE-1,pc,115 Ridge Road,,hill view,95016,United States,2025-07-01T12:00:00+00:00,website
SC000200730,,guifiz.wulyev.p102926@brand-example.test,+999000102926,Guifiz,Wulyev,1963-05-28,KIOSK-DEVICE-1,tab,602 Park Road,Floor 12,Greenfield,36211,IN,02-27-26 12:00,Web
SC000210032,,yevdri.guisul.p221942@brand-example.test,+999000221942,Yevdri,Guisul,1983-01-02,DEV-12c068d47cba,desktop,668 Park Ave,,Laketown,47977,Australia,2025-11-11 17:30:00,website
SC000233062,,turnan.lekyev.p280756@brand-example.test,+999000280756,Turnan,Lekyev,1970-01-01,DEV-ac1701742af0,desktop,252 Market Ave,,LakeTown,26801,IND,1750075200000,web
SC000266287,,shapre.mablek.p125183@brand-example.test,+999000125183,Shapre,Mablek,1951-12-09,DEV-d5c3c218cc00,Tablet,448 Lake St,Suite 97,Green Field,64363,UK,1732104000000,Web
SC000238987,001113054,pregui.pavkor.p172209@brand-example.test,+999000172209,Pregui,Pavkor,1970-01-16,DEV-e52ba1ff77a3,DESKTOP,965 Park Ave,,Laketown,44067,IND,02-24-25 12:00,website
SC000233550,,vexqur.turqur.p041767@brand-example.test,+999000041767,"Vexqur
 multiline note",Turqur,1982-02-04,KIOSK-DEVICE-1,MOBILE,83 Market Ave,Floor 2,Hill-View,24890,GB,2026-02-07T12:00:00+00:00,web
SC000259772,,"mabzex.korte.p197742@brand-example.test ""quoted, comma""",+999000197742,Mabzex,Korte,1947-12-16,DEV-0238bd806567,event kiosk,451 Market St,,metrocity,84255,united states,2026/02/19 12:00:00,WEB
SC000221989,,yevpav.wulcam.p119895@brand-example.test,+999000119895,Yevpav,Wulcam,1982-11-04,DEV-dc399b5f7e74,MOBILE,77 Market Road,,HILLVIEW,23186,IN,2025/10/21 12:00:00,website
SC000265023,,noxpha.birbir.p015357@brand-example.test,+999000015357,Bivlon,Korlek,1944-07-15,DEV-af578c181286,smartphone,153 Market Road,Floor 11,LakeTown,60047,AUS,2025-06-12T12:00:00+00:00,web
SC000227479,,leksul.tecam.p230670@brand-example.test,+999000230670,Leksul,Tecam,1957-02-21,KIOSK-DEVICE-1,smartphone,988 Lake Road,,NewTown,39320,U.S.,06-01-25 12:00,website
SC000223484,,nantur.zexqur.p220653@brand-example.test,+999000220653,Nantur,Zexqur,1975-05-07,KIOSK-DEVICE-1,desk,30 Park St,"Suite 130
 multiline note",greenfield,90636,united kingdom,11-11-2025 12:00:00,Web
SC000215782,,vexsul.qurjor.p051367@brand-example.test,+999000051367,Vexsul,Qurjor,1992-11-04,KIOSK-DEVICE-1,pc,855 Ridge Road,,metrocity,65643,United Kingdom,22-05-2025 12:00:00,website
SC007001223,,tesek.xonpav.u7001223@brand-example.test,,Tesek,Xonpav,,DEV-54642effdcfb,TABLET,523 Ridge Road,,Laketown,11223,India,1775217577000,web
SC000228170,,pavpre.dripre.p135081@brand-example.test,,Craxon,Sultur,1972-09-16,DEV-2a65af921438,kiosk,329 Ridge Road,,LakeTown,37568,AU,1758628800000,website
SC000217507,,qurcam.birdri.p285018@brand-example.test,+999000285018,Nanlon,Nansha,2002-07-15,KIOSK-DEVICE-1,ipad,903 Garden Road,Floor 3,metrocity,34913,india,2025-10-01 17:30:00,Web
SC000241239,,yevnox.tepha.p211061@brand-example.test,+999000211061,Yevnox,Tepha,1941-06-11,DEV-12255fa93779,KIOSK,840 Market Ave,,Hill View,82946,UK,23-12-2025 12:00:00,Web
SC000265321,,qursha.bivbir.p262735@brand-example.test,+999000262735,Qursha,Bivbir,1950-03-10,DEV-4c31a191083f,smartphone,259 Ridge Road,,LAKETOWN,22491,united states,2025/06/08 12:00:00,web
SC000248172,,yevnan.crarai.p054341@brand-example.test,+999000054341,Yevnan,Crarai,1938-08-19,DEV-4ba14830f143,mobile,180 Vale Road,,New Town,51231,India,2025-11-23T12:00:00+00:00,WEB
SC000232092,,vextur.shacam.p122550@brand-example.test,+999000122550,Vextur,Shacam,1998-06-20,DEV-a8836ba2d27f,Kiosk,293 Vale Ave,Suite 9,Lake Town,81290,India,2025/06/19 12:00:00,web
SC000219889,001110982,leksha.camsul.p008765@brand-example.test,+999000008765,Leksha,Camsul,1948-11-03,DEV-c85238876c32,tablet,849 Ridge Ave,,Green Field,20527,UK,12-07-25 12:00,Web
SC000237444,001109172,phalon.pavzex.p294623@brand-example.test,+999000294623,Turnan,Zexcra,1961-09-27,DEV-fe46860760c0,kiosk,536 Ridge Road,Floor 10,Green Field,61455,GBR,12-11-2025 12:00:00,WEB
SC000254876,,pavwul.xonlek.p295104@brand-example.test,,Pavwul,Xonlek,1970-01-01,DEV-025aa180e1d9,kiosk,539 Market Ave,Floor 3,METROCITY,13244,india,02-02-2026 12:00:00,Web
SC000228155,,raigui.nanxon.p166443@brand-example.test,+999000166443,Raigui,Nanxon,1939-03-28,DEV-4533dea45726,Mobile,915 Market Ave,,GREENFIELD,57250,united states,1741521600000,website
SC000249142,,nansha.fizqur.p275310@brand-example.test,+999000275310,Nansha,Fizqur,1945-12-08,DEV-d8e9a54f3095,tab,630 Garden Road,Suite 118,Laketown,64284,U.S.,2025-10-27 17:30:00,web
SC000236838,,"phalek.nandri.p082390@brand-example.test ""quoted, comma""",+999000082390,Phalek,Nandri,1953-04-27,KIOSK-DEVICE-1,mob,334 Market Road,"Suite 30
 multiline note",Metro City,95767,India,2026-03-27 17:30:00,Web
SC000202475,,"crarai.camyev.p135348@brand-example.test ""quoted, comma""",+999000135348,Crarai,Camyev,1991-11-26,DEV-63297ed9c520,desktop,198 Lake Ave,,Laketown,99399,US,1755518400000,WEB
SC000202176,,,+999000038664,Vexsek,Suljor,1983-12-25,DEV-bddb89aa1e95,TABLET,687 Lake Ave,Floor 9,Hillview,47687,INDIA,2025-09-02 17:30:00,Web
SC000269429,,bivkor.sekzex.p023343@brand-example.test,+999000023343,Bivkor,Sekzex,1993-01-25,DEV-3aa144a3ec17,KIOSK,495 Lake Ave,,Laketown,19151,IND,2025-01-26T12:00:00+00:00,Web
SC000244060,,nanfiz.vexfiz.p280088@brand-example.test,+999000280088,Nanfiz,Vexfiz,1943-03-17,KIOSK-DEVICE-1,Kiosk,198 Ridge St,Floor 11,Green-Field,41381,GB,2025/04/25 12:00:00,Web
SC000260143,,fizxon.prekor.p128210@brand-example.test,+999000128210,Fizxon,Prekor,1946-05-14,DEV-368864070a70,Desktop,750 Market Ave,,Greenfield,81269,AU,10-30-25 12:00,WEB
SC000221700,,sekbiv.londri.p144774@brand-example.test,+999000144774,Sekbiv,Londri,1942-01-09,KIOSK-DEVICE-1,KIOSK,492 Ridge St,,metro-city,44582,IN,07-24-25 12:00,website
SC000252787,,tejor.suldri.p160557@brand-example.test,+999000160557,Tejor,Suldri,1954-09-17,KIOSK-DEVICE-1,Tablet,925 Vale Ave,,Hillview,97065,IN,1756814400000,website
SC000266730,,phalek.fizlon.p098504@brand-example.test,0000000000,Phalek,Fizlon,1996-12-20,DEV-da8c31da1710,mobile,652 Vale Road,Suite 108 hello नमस्ते यार,Greenfield,70510,united kingdom,2025-02-03 17:30:00,web
SC000200082,,xonfiz.ricam.p072641@brand-example.test,+999000072641,Xonfiz,Ricam,1976-06-08,DEV-15f0ae9b64fc,mob,482 Lake Road,,Hillview,52476,GB,1771070400000,web
SC000225564,,texon.cambir.p233922@brand-example.test,+999000233922,Texon,Cambir,1974-08-22,DEV-2853c23e90ec,Desktop,263 Garden St,,HILLVIEW,82647,India,2025-10-04 17:30:00,website
SC000216389,,zexxon.vexdri.p220296@brand-example.test,+999000220296,Zexxon,Vexdri,1994-05-17,DEV-0374dec1e6b7,ipad,658 Vale St," ""quoted, comma""",Metro City,36516,AU,04-07-25 12:00,web
SC000252100,,phazex.lekfiz.p290659@brand-example.test,+999000290659,Phazex,Lekfiz,1952-12-13,KIOSK-DEVICE-1,check-in kiosk,812 Market Ave,Floor 5,Green Field,45221,AU,2026/03/13 12:00:00,WEB
SC000234254,,ricam.turyev.p070229@brand-example.test,+999000070229,Ricam,Turyev,1998-10-03,DEV-b33aafc1fe16,smartphone,895 Garden St,Suite 75,hill view,38814,IN,03-15-26 12:00,website
SC000220556,,bivxon.jorpre.p145260@brand-example.test,0000000000,Bivxon,Jorpre,1956-09-03,KIOSK-DEVICE-1,mobile,"19 Vale Ave
 multiline note",Suite 77,HILLVIEW,16514,US,2025/12/26 12:00:00,web
SC000227382,,raivex.yevzex.p203706@brand-example.test,+999000203706,Raivex,Yevzex,1969-02-09,DEV-290146876e07,TABLET,723 Garden St,,Green-Field,66915,AUS,2026/03/13 12:00:00,website
SC000241362,,yevwul.noxwul.p205082@brand-example.test,+999000205082,Yevwul,Noxwul,2005-05-05,KIOSK-DEVICE-1,KIOSK,292 Ridge St,Suite 140,Lake Town,12923,united states,1743768000000,WEB
SC000208998,,tetur.sulsul.p179896@brand-example.test,+999000179896,Tetur,Sulsul,1964-08-14,DEV-92fe852bd254,Tablet,453 Garden Road,Suite 5,Metrocity,62081,GBR,10-12-25 12:00,WEB
SC000267681,,nangui.drilek.p237320@brand-example.test,+999000237320,Nangui,Drilek,1951-04-15,KIOSK-DEVICE-1,event kiosk,493 Vale Road,Floor 4,metro-city,69564,australia,26-03-2025 12:00:00,web
SC000213027,,rixon.tebiv.p141822@brand-example.test,+999000141822,Rixon,Tebiv,1941-03-16,KIOSK-DEVICE-1,desktop,750 Garden St,,METROCITY,57660,AUSTRALIA,1739534400000,website
SC000244632,,prete.risha.p217626@brand-example.test,,Prete,Risha,1982-02-26,DEV-d5b68fc4e1e2,Mobile,764 Ridge Ave,,Metro City,38554,united states,2025-09-09 17:30:00,WEB
SC000256158,,korlon.lonmab.p059004@brand-example.test,+999000059004,Korlon,Lonmab,2001-05-19,DEV-e8ac4a0a8436,ipad,365 Lake Ave,,Green-Field,22942,australia,10-03-2025 12:00:00,web
SC000243327,,vexbiv.lonpre.p131346@brand-example.test,+999000131346,Vexbiv,Lonpre 😊,1971-09-03,DEV-c7091c45bfc4,DESKTOP,791 Vale Road,,new town,36123,US,2026-01-23 17:30:00,website
SC000245262,,birzex.mabmab.p030203@brand-example.test,+999000030203,Birzex,Mabmab,1970-01-01,KIOSK-DEVICE-1,KIOSK,296 Garden Road,,GREENFIELD,15285,AU,2025-09-23 17:30:00,Web
SC000225213,,xonsha.turdri.p241456@brand-example.test 😊,+999000241456,Xonsha,Turdri,1968-08-21,DEV-eca320f45b8e,event kiosk,282 Garden Road,Floor 9,HILLVIEW,41460,Australia,03-31-25 12:00,web
SC007000181,,xonpre.birnan.u7000181@brand-example.test,,Xonpre,Birnan,,DEV-53a53df75263,DESKTOP,281 Ridge Road,,Greenfield,10181,Australia,2026-04-03T11:57:06+00:00,Web
SC007000585,,nanpav.ripre.u7000585@brand-example.test,,Nanpav,Ripre,,DEV-829e7bfa797d,tab,685 Ridge Road,,lake town,10585,INDIA,2026/04/03 11:55:15,WEB
SC000226632,,korwul.xonzex.p286612@brand-example.test,+999000286612,Korwul,Xonzex,1988-11-28,DEV-2efcdc0c3ee0,mob,553 Park Ave,,New Town,66958,Australia,05-17-25 12:00,WEB
SC000209276,,sekcra.korxon.p172598@brand-example.test,+999000172598,Sekcra,Korxon,1977-02-21,DEV-a9b2214346eb,pc,997 Vale Ave,,LakeTown,78654,united states,2025/02/20 12:00:00,website
SC000244087,,yevpav.tedri.p252690@brand-example.test,+999000252690,Yevpav,Tedri,1944-04-08,KIOSK-DEVICE-1,Kiosk,686 Lake St,,Laketown,44352,USA,03-13-26 12:00,website
SC000241696,,nankor.xonwul.p134426@brand-example.test,+999000134426,Nankor,Xonwul,1973-11-26,DEV-c6e959647247,DESKTOP,821 Market Road,Suite 57,Hill View,90801,AUS,2025-05-05T12:00:00+00:00,web
SC000209363,,raifiz.shapre.p281011@brand-example.test,+999000281011,Raifiz,Shapre,1942-01-07,DEV-58805fabf485,Kiosk,244 Lake Ave,,NEWTOWN,36294,GB,1753358400000,Web
SC000244215,,shawul.seknan.p178376@brand-example.test,+999000178376,Shawul,Seknan,1969-11-12,KIOSK-DEVICE-1,MOBILE,373 Garden St 😊,,Metro City,88120,India,23-03-2026 12:00:00,Web
SC000263536,,raijor.zexrai.p196926@brand-example.test,,Raijor,Zexrai,1970-01-01,DEV-46a7921c9b67,kiosk,237 Park St,,Laketown,75235,united states,2025-09-21 17:30:00,Web
SC000244581,,qa+001@staff.test,+999000276363,Phapha,"Raipre
 multiline note",1945-12-19,KIOSK-DEVICE-1,pc,74 Ridge Road,Floor 4,lake town,27129,AUSTRALIA,15-03-2025 12:00:00,website
SC000247193,,jorwul.korte.p215459@brand-example.test,+999000215459,Jorwul,Korte,1943-10-16,DEV-de4dce6319fa,KIOSK,227 Vale Ave," ""quoted, comma""",Newtown,54153,United Kingdom,07-02-25 12:00,Web
SC000231100,,mabwul.mabcra.p175342@brand-example.test,+999000175342,Mabwul,Mabcra hello नमस्ते यार,2004-10-11,KIOSK-DEVICE-1,Tablet,"633 Garden St
 multiline note",,Lake Town,87781,Australia,1763640000000,website
SC000226333,,pavbiv.rairi.p202470@brand-example.test,+999000202470,Pavbiv,Rairi,1960-04-15,DEV-e52343a7b3f1,mob,165 Vale Ave,,NewTown,47035,Australia,2025/02/07 12:00:00,WEB
SC000245940,001110701,sulgui.birmab.p013480@brand-example.test,+999000013480,Sulgui,Birmab,1988-07-10,DEV-97b78d8f8611,event kiosk,846 Ridge Ave,,Newtown,63321,USA,05-13-25 12:00,WEB
SC000261841,,pavkor.vexnan.p255301@brand-example.test,+999000255301,Pavkor,Vexnan,1971-07-25,KIOSK-DEVICE-1,Desktop,881 Vale Road,Suite 197,Hill View,35423,Australia,2025/07/18 12:00:00,web
SC000228811,,seknan.jorxon.p125958@brand-example.test,+999000125958,Seknan,Jorxon,1959-06-05,DEV-24f25b635ed7,pc,463 Park St,Floor 9,HILLVIEW,22657,united states,1744286400000,web
SC000205517,,nantur.vexbir.p081922@brand-example.test,+999000081922,Nantur,Vexbir,1969-08-11,KIOSK-DEVICE-1,Tablet,748 Lake Ave,Floor 11,new town,87462,U.S.,2025-11-12T12:00:00+00:00,web
SC007000255,,vexlon.lontur.u7000255@brand-example.test,,Vexlon,Lontur,,DEV-6e82bae47dae,event kiosk,355 Ridge Road,,Greenfield,10255,US,2026-04-03T11:55:45+00:00,website
SC007000221,,tesul.fizgui.u7000221@brand-example.test,,Tesul,Fizgui,,DEV-90ed51f6fc7d,Kiosk,321 Ridge Road,,hill view,10221,USA,2026-04-03 17:26:22,WEB
SC000272859,001112281,phatur.fizpav.p049005@brand-example.test,+999000049005,Phatur,Fizpav,1938-08-24,DEV-f6bb304e2d23,mobile,165 Lake Road,,metro-city,96710,IN,01-06-2025 12:00:00,WEB
SC000265920,001113413,,+999000061066,Raiqur,Noxgui,1949-02-25,DEV-40ce60a1edbb,Desktop,438 Garden St,Floor 5,Metrocity,97491,AUS,11-21-25 12:00,Web
SC000238380,,railon.zexyev.p246911@brand-example.test,+999000246911,Railon,Zexyev,2005-12-27,KIOSK-DEVICE-1,MOBILE,365 Park St,Suite 180,GREENFIELD,46388,United States,1753099200000,WEB
SC000272393,,lekbiv.sekfiz.p260431@brand-example.test,,Camlek,Sullek,2002-02-15,KIOSK-DEVICE-1,MOBILE,316 Ridge St,Suite 41,NEWTOWN,83662,GB,1754740800000,Web
SC000246413,,sulsek.shaxon.p143370@brand-example.test,+999000143370,Sulsek,Shaxon,2001-11-10,DEV-f83a38c63cea,mob,851 Vale Road,,METROCITY,34168,UK,1773057600000,Web
SC000261860,,qurri.nanmab.p265395@brand-example.test,+999000265395,Qurri,Nanmab,1999-09-08,KIOSK-DEVICE-1,Tablet,127 Ridge Road,Floor 10,hill view,48370,australia,2025/07/12 12:00:00,website
SC000209342,,fizsul.ripav.p226178@brand-example.test,+999000226178,Fizsul,Ripav,1969-03-16,DEV-502d964ba1cb,check-in kiosk,664 Ridge St,Suite 197,Newtown,44619,india,1771934400000,WEB
SC000227212,,bivri.zexlon.p085798@brand-example.test,+999000085798,Bivri,Zexlon,1940-11-09,KIOSK-DEVICE-1,mobile,368 Ridge Road,Floor 11,LAKETOWN,40017,Australia,28-12-2025 12:00:00,website
SC000222360,,craqur.turrai.p271553@brand-example.test,+999000271553,Mabdri,"Birdri
 multiline note",1966-02-13,DEV-a194eaefa70f,Tablet,229 Garden Ave,,metro-city,73386,AU,2024-12-01 17:30:00,web
SC007000569,,korlek.sulbiv.u7000569@brand-example.test,,Korlek,Sulbiv,,DEV-d824e917b647,desktop,669 Ridge Road,,new town,10569,USA,2026-04-03T11:55:31+00:00,web
SC000216177,,camyev.lekcra.p009543@brand-example.test,+999000009543,Camyev,Lekcra,1970-09-16,DEV-27fbab35a3bb,desk,593 Lake Ave,Floor 6,Lake Town,74458,IN,2026/01/11 12:00:00,web
